"Area","Requested change","Status","Screenshot","Notes"
"Data Audit","Mostly-green fetched grid","Implemented","m1-data-audit.jpg","Updated this week"
"Data Audit","Tap-to-hide columns","Implemented","m1-data-audit.jpg",""
"Data Audit","Tap-to-hide company groups","Implemented","m1b-data-audit-companies.jpg",""
"Data Audit","Hidden items tray + restore","Implemented","m1-data-audit.jpg",""
"Data Audit","Drag / move-left-right reordering","Implemented","m1b-data-audit-companies.jpg",""
"Data Audit","Save view","Implemented","m1-data-audit.jpg",""
"Data Audit","Reset view","Implemented","m1-data-audit.jpg",""
"Data Audit","Company colour separation","Implemented","m1b-data-audit-companies.jpg",""
"Data Audit","Cell source on click","Implemented","m1-data-audit.jpg",""
"Analyst Targets","Dynamic average analyst target","Implemented","m2-analyst.jpg",""
"Analyst Targets","Count of reports used","Implemented","m2-analyst.jpg",""
"Analyst Targets","Invalid / blank target exclusion","Implemented","m2-analyst.jpg",""
"Analyst Targets","Auto-update when targets added","Implemented","m2-analyst.jpg",""
"Shareholding Pattern","Historical shareholding % trend","Implemented","m3-shareholding.jpg",""
"Shareholding Pattern","Previous vs latest comparison","Implemented","m3-shareholding.jpg",""
"Shareholding Pattern","Change in percentage points","Implemented","m3-shareholding.jpg",""
"Shareholding Pattern","Change in shares","Implemented","m3-shareholding.jpg",""
"Shareholding Pattern","Trend / position view","Implemented","m3-shareholding.jpg",""
"Shareholding Pattern","Period selector","Implemented","m3-shareholding.jpg",""
"Shareholding Pattern","Bulk / block deals kept separate","Implemented","m6-deals.jpg",""
"Valuation","Street-verdict fair-value gauge","Implemented","m4-valuation-hero.jpg","Updated this week"
"Valuation","Valuation lenses (premium to peers)","Implemented","m4-valuation-hero.jpg",""
"Valuation","Clean peer valuation matrix","Implemented","m4b-valuation-peer.jpg",""
"Valuation","NAV / book-value card","Implemented","m4c-nav-card.jpg",""
"Valuation","“Show calculation” workings","Implemented","m4c-nav-card.jpg",""
"Valuation","Honest missing-data handling","Implemented","m4b-valuation-peer.jpg",""
"Insights","Niva Bupa-first default","Implemented","m5-insights-front.jpg",""
"Insights","Latest period / FY2026 handling","Implemented","m5b-insights-back.jpg",""
"Insights","Simpler insight language","Implemented","m5-insights-front.jpg",""
"Insights","Source preview panel","Implemented","m5b-insights-back.jpg",""
"Insights","“Go to Data Audit” priority over chart","Implemented","m5c-insights-goto.jpg",""
"Insights","Fallback to chart if no audit mapping","Implemented","m5b-insights-back.jpg",""
"Insights","“Back to Insight” return path","Implemented","m5c-insights-goto.jpg",""
"Insights","Empty Technical/Macro/Sentiment removed","Implemented","m5b-insights-back.jpg",""
"Insights","Compact left-right flipped layout","Implemented","m5-insights-front.jpg",""
"Bulk & Block Deals","Dates parse across all records","Implemented","m6-deals.jpg","Updated this week"
"Bulk & Block Deals","Bulk vs block separated","Implemented","m6-deals.jpg",""
"Bulk & Block Deals","Net flow + largest trade summary","Implemented","m6-deals.jpg",""
"Bulk & Block Deals","Unique buyers / sellers + counterparties","Implemented","m6-deals.jpg",""
"Bulk & Block Deals","Source visibility","Implemented","m6-deals.jpg",""
"Sources","Broken / session links checked","Implemented","m7-sources.jpg",""
"Sources","Stable source links added","Implemented","m7-sources.jpg",""
"Sources","Source status shown clearly","Implemented","m7-sources.jpg",""
"Sources","As-printed vs dashboard value","Implemented","m7-sources.jpg",""
"Excel Verifier","Excel upload as verifier","Implemented","m8-verifier.jpg",""
"Excel Verifier","Cell-to-dashboard comparison","Implemented","m8-verifier.jpg",""
"Excel Verifier","Five outcome statuses","Implemented","m8-verifier.jpg",""
"Excel Verifier","Colour-coded in the grid","Implemented","m8e-overlay-grid.jpg",""
"Excel Verifier","Row click → jump to exact cell","Implemented","m8b-verifier-rows.jpg",""
"Excel Verifier","Summary tiles + tab filter","Implemented","m8-verifier.jpg",""
"Excel Verifier","Movable window + file history","Implemented","m8b-verifier-rows.jpg",""
"Historical Data","Live daily price / volume / delivery chart","Implemented","m9-historical.jpg",""
"Historical Data","Weekly average","Implemented","m9-historical.jpg",""
"Historical Data","Monthly average","Implemented","m9-historical.jpg",""
"Historical Data","Yearly average","Implemented","m9-historical.jpg",""
"Historical Data","Trend + summary update on selection","Implemented","m9-historical.jpg",""